,Suburb,Address,Rooms,Housewithrooms,Housewithrooms1,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,Abbotsford,85 Turner St,2,House,house with 2,1480000,S,Biggin,3/12/2016,2.5,3067,2,1,1,202,,,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
1,Abbotsford,25 Bloomburg St,2,House,house with 2,1035000,S,Biggin,4/02/2016,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
2,Abbotsford,5 Charles St,3,House,house with 3,1465000,SP,Biggin,4/03/2017,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
3,Abbotsford,40 Federation La,3,House,house with 3,850000,PI,Biggin,4/03/2017,2.5,3067,3,2,1,94,,,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
4,Abbotsford,55a Park St,4,House,house with 3,1600000,VB,Nelson,4/06/2016,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
5,Abbotsford,129 Charles St,2,House,house with 2,941000,S,Jellis,7/05/2016,2.5,3067,2,1,0,181,,,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
6,Abbotsford,124 Yarra St,3,House,house with 4,1876000,S,Nelson,7/05/2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
7,Abbotsford,98 Charles St,2,House,house with 2,1636000,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
8,Abbotsford,6/241 Nicholson St,1,Unit,unit with 1,300000,S,Biggin,8/10/2016,2.5,3067,1,1,1,0,,,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
9,Abbotsford,10 Valiant St,2,House,house with 3,1097000,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
10,Abbotsford,411/8 Grosvenor St,2,Unit,unit with 2,700000,VB,Jellis,12/11/2016,2.5,3067,2,2,1,0,,,Yarra,-37.811,145.0067,Northern Metropolitan,4019
11,Abbotsford,40 Nicholson St,3,House,house with 3,1350000,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
12,Abbotsford,123/56 Nicholson St,2,Unit,unit with 2,750000,S,Biggin,12/11/2016,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
13,Abbotsford,45 William St,2,House,house with 2,1172500,S,Biggin,13/08/2016,2.5,3067,2,1,1,195,,,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
14,Abbotsford,7/20 Abbotsford St,1,Unit,unit with 1,441000,SP,Greg,14/05/2016,2.5,3067,1,1,1,0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
15,Abbotsford,16 William St,2,House,house with 2,1310000,S,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019
16,Abbotsford,42 Henry St,3,House,house with 3,1200000,S,Jellis,16/07/2016,2.5,3067,3,2,1,113,110,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019
17,Abbotsford,78 Yarra St,3,House,house with 2,1176500,S,LITTLE,16/07/2016,2.5,3067,2,1,1,138,105,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
18,Abbotsford,196 Nicholson St,3,House,house with 3,955000,S,Collins,17/09/2016,2.5,3067,3,1,0,183,,,Yarra,-37.8022,144.9975,Northern Metropolitan,4019
19,Abbotsford,42 Valiant St,2,House,house with 2,890000,S,Biggin,17/09/2016,2.5,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
20,Abbotsford,3/72 Charles St,4,House,house with 4,1330000,PI,Kay,18/03/2017,2.5,3067,4,2,2,780,135,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
21,Abbotsford,13/11 Nicholson St,3,Townhouse,townhouse with 3,900000,S,Beller,18/03/2017,2.5,3067,3,2,2,0,,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,4019
22,Abbotsford,138/56 Nicholson St,3,Unit,unit with 3,1090000,S,Jellis,18/03/2017,2.5,3067,3,2,2,4290,27,,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
23,Abbotsford,6/219 Nicholson St,2,Unit,unit with 2,500000,S,Collins,18/06/2016,2.5,3067,2,1,1,0,60,1970,Yarra,-37.8015,144.9972,Northern Metropolitan,4019
24,Abbotsford,52a William St,2,House,house with 2,1100000,PI,Biggin,18/06/2016,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
25,Abbotsford,49 Park St,2,House,house with 2,1315000,S,Marshall,19/11/2016,2.5,3067,2,1,0,147,85,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019
26,Abbotsford,5/20 Abbotsford St,1,Unit,unit with 1,426000,SP,Greg,22/08/2016,2.5,3067,1,1,1,0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
27,Abbotsford,48 Abbotsford St,3,House,house with 3,1447500,PI,Nelson,22/08/2016,2.5,3067,3,3,1,166,174,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
28,Abbotsford,116/56 Nicholson St,1,Unit,unit with 1,457000,S,Jellis,22/08/2016,2.5,3067,1,1,1,0,50,,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
29,Abbotsford,159 Park St,2,House,house with 2,1135000,S,Nelson,22/08/2016,2.5,3067,2,2,2,98,128,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
30,Abbotsford,31 Turner St,4,House,house with 4,1542000,S,Collins,24/09/2016,2.5,3067,4,3,1,0,,,Yarra,-37.7994,144.9965,Northern Metropolitan,4019
31,Abbotsford,166 Gipps St,3,House,house with 3,1290000,S,Biggin,25/02/2017,2.5,3067,3,2,2,147,18,,Yarra,-37.805,144.9943,Northern Metropolitan,4019
32,Abbotsford,60 Stafford St,3,House,house with 3,1290000,S,Biggin,25/02/2017,2.5,3067,3,1,1,168,124,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
33,Abbotsford,11/205 Gipps St,1,Unit,unit with 1,470000,S,Nelson,26/07/2016,2.5,3067,1,1,1,0,50,2013,Yarra,-37.8055,144.9961,Northern Metropolitan,4019
34,Abbotsford,47 Studley St,2,House,house with 2,1180000,S,Jellis,27/11/2016,2.5,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
35,Abbotsford,45 Yarra St,3,House,house with 3,1195000,SP,Jellis,27/11/2016,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
36,Abbotsford,200 Nicholson St,2,House,house with 2,1012500,S,Nelson,28/05/2016,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
37,Abbotsford,27 Charles St,2,House,house with 2,1030000,S,Biggin,30/07/2016,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
38,Alphington,6 Smith St,4,House,house with 3,2000000,S,Brace,3/09/2016,6.4,3078,3,2,4,853,263,1930,Darebin,-37.7707,145.0318,Northern Metropolitan,2211
39,Alphington,5/6 Yarralea St,3,House,house with 3,1110000,S,Jellis,3/09/2016,6.4,3078,3,2,2,208,,2013,Yarra,-37.7854,145.0325,Northern Metropolitan,2211
